,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,19.239139377276274,27.50112459030521,83.77413516740194,90.1375213568202,64.40161431024036
in-range-light,27.501124590305214,18.114985618362134,62.74948032834988,69.12304732442993,43.7453945045422
in-range-standard,83.77413516740192,62.74948032834988,8.395021349491481,10.83352886707928,21.178152615497172
in-range-dark,90.13752135682019,69.12304732442993,10.83352886707928,9.399937670405901,27.41979132158506
out-of-range-too-dark,64.40161431024036,43.7453945045422,21.178152615497172,27.41979132158506,9.15170105475013
